global_auroc,brct_auroc,ring_auroc,other_auroc,poison_fraction,trial,target_domain,flip_direction,n_flipped
0.8682671148472897,0.8234918474104439,0.8069656911178494,0.9631712991775419,0.5,0,BRCT,func_to_lof,674
0.866309052527843,0.8217577013674324,0.8053047596334026,0.960184023821606,0.5,1,BRCT,func_to_lof,674
0.861932916767707,0.8172684236287435,0.8087032809785016,0.9507338931283092,0.5,2,BRCT,func_to_lof,674
0.8671420689215539,0.8215798892593839,0.8139075329631018,0.9567994025449288,0.5,3,BRCT,func_to_lof,674
0.8577867865681921,0.8138861696595185,0.8033968178256277,0.9481152398916155,0.5,4,BRCT,func_to_lof,674
0.8596307075513754,0.8148708281073145,0.8063098361214267,0.9487184397231024,0.5,5,BRCT,func_to_lof,674
0.8625161143877093,0.8196602832757197,0.8032349834758611,0.9561100313089437,0.5,6,BRCT,func_to_lof,674
0.8638789188704918,0.8171135550185076,0.8115226057033832,0.9550616125542163,0.5,7,BRCT,func_to_lof,674
0.8568516890548796,0.8040625286793722,0.801999931859221,0.9595712493896192,0.5,8,BRCT,func_to_lof,674
0.8650750339301274,0.8161059530728991,0.811454464924534,0.9604425380351005,0.5,9,BRCT,func_to_lof,674
0.8276668261773894,0.8006210040074644,0.7723672106572178,0.9086152255297147,1.0,0,BRCT,func_to_lof,1348
0.8267937526354804,0.8000474165621462,0.7757061088208239,0.9050869852455405,1.0,1,BRCT,func_to_lof,1348
0.8288887845584432,0.8005502615558752,0.7802204354195769,0.9060588071962697,1.0,2,BRCT,func_to_lof,1348
0.8310609157236368,0.8019440790479977,0.7846410684474124,0.9106211043344216,1.0,3,BRCT,func_to_lof,1348
0.826248458553558,0.7981010431643671,0.7760382951177132,0.9058721024865238,1.0,4,BRCT,func_to_lof,1348
0.8247482537452356,0.7945008259659212,0.7780058601069809,0.9034832396618252,1.0,5,BRCT,func_to_lof,1348
0.8274988445881716,0.7981851693230139,0.7779462369254879,0.9072699941594936,1.0,6,BRCT,func_to_lof,1348
0.8284050837259005,0.8024392762091224,0.7801948826275085,0.9059056135882732,1.0,7,BRCT,func_to_lof,1348
